Prompt,Response,,,,,,,,,,,,,,,,
How many Fast Track Courts are there in Assam?,15,,,,,,,,,,,,,,,,
What is the number of Fast Track Courts functional in Chhattisgarh?,27,,,,,,,,,,,,,,,,
How many Fast Track Courts are operational in Delhi?,26,,,,,,,,,,,,,,,,
What is the current status of Fast Track Courts in Kerala?,0,,,,,,,,,,,,,,,,
How many Fast Track Courts are functional in Maharashtra?,102,,,,,,,,,,,,,,,,
How many Fast Track Courts are currently in operation in Uttar Pradesh?,372,,,,,,,,,,,,,,,,
What is the total number of Fast Track Courts in Rajasthan?,0,,,,,,,,,,,,,,,,
How many Fast Track Courts are functioning in West Bengal?,88,,,,,,,,,,,,,,,,
How many cases are pending in Fast Track Courts in Andaman and Nicobar?,0,,,,,,,,,,,,,,,,
What is the number of pending cases in Fast Track Courts in Andhra Pradesh?,7519,,,,,,,,,,,,,,,,
How many cases are pending in Fast Track Courts in Assam?,12079,,,,,,,,,,,,,,,,
What is the status of pending cases in Fast Track Courts in Bihar?,0,,,,,,,,,,,,,,,,
How many cases are pending in Fast Track Courts in Delhi?,7135,,,,,,,,,,,,,,,,
What is the number of pending cases in Fast Track Courts in Gujarat?,6131,,,,,,,,,,,,,,,,
How many cases are pending in Fast Track Courts in Haryana?,798,,,,,,,,,,,,,,,,
What is the pending case count in Fast Track Courts in Maharashtra?,173237,,,,,,,,,,,,,,,,
How many pending cases are there in Fast Track Courts in Tamil Nadu?,80460,,,,,,,,,,,,,,,,
What is the total number of pending cases in Fast Track Courts in Uttar Pradesh?,999909,,,,,,,,,,,,,,,,
What is the purpose of establishing Family Courts?,To promote conciliation and secure speedy settlement of disputes related to marriage and family affairs.,,,,,,,,,,,,,,,,
Under what Act are Family Courts established in India?,"The Family Courts Act, 1984.",,,,,,,,,,,,,,,,
How many Family Courts are currently functional across the country as of May 2024?,836,,,,,,,,,,,,,,,,
What recommendation did the 14th Finance Commission make regarding Family Courts?,The Commission recommended setting up 235 Family Courts in districts where they were not available during 2015-2020.,,,,,,,,,,,,,,,,
Is it mandatory for State Governments to set up Family Courts in cities with specific populations?,"Yes, a Family Court must be set up for every city or town whose population exceeds one million.",,,,,,,,,,,,,,,,
Can Family Courts be established in areas with smaller populations?,"Yes, they may be set up if the State Government deems it necessary.",,,,,,,,,,,,,,,,
How can State Governments fund the establishment of Family Courts?,By utilizing enhanced fiscal space available through tax devolution (32% to 42%).,,,,,,,,,,,,,,,,
How many Family Courts are functional in Andaman and Nicobar?,4,,,,,,,,,,,,,,,,
What is the number of functional Family Courts in Andhra Pradesh?,17,,,,,,,,,,,,,,,,
Are there any Family Courts operational in Arunachal Pradesh?,0,,,,,,,,,,,,,,,,
How many Family Courts are there in Assam?,7,,,,,,,,,,,,,,,,
What is the number of functional Family Courts in Bihar?,39,,,,,,,,,,,,,,,,
How many Family Courts are functional in Delhi?,30,,,,,,,,,,,,,,,,
What is the count of Family Courts in Gujarat?,36,,,,,,,,,,,,,,,,
How many Family Courts operate in Maharashtra?,51,,,,,,,,,,,,,,,,
How many Family Courts are there in Tamil Nadu?,40,,,,,,,,,,,,,,,,
How many Family Courts are functional in Uttar Pradesh?,189,,,,,,,,,,,,,,,,
What is the total number of functional Family Courts across all listed states?,Total: 479 ,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Andaman and Nicobar,52,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Andhra Pradesh,759,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Arunachal Pradesh,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Assam,472,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Bihar,"3,180",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Chandigarh,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Chhattisgarh,"1,345",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Dadra and Nagar Haveli,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Daman and Diu,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Delhi,"5,531",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Goa,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Gujarat,"1,636",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Haryana,"4,237",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Himachal Pradesh,155,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Jammu and Kashmir,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Jharkhand,"1,201",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Karnataka,"2,332",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Kerala,"6,052",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Ladakh,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Lakshadweep,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Madhya Pradesh,"4,147",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Maharashtra,"4,709",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Manipur,47,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Meghalaya,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Mizoram,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Nagaland,21,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Odisha,"1,503",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Puducherry,80,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Punjab,"4,111",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Rajasthan,"3,078",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Sikkim,38,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Tamil Nadu,"2,396",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Telangana,"1,258",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Tripura,320,,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Uttar Pradesh,"21,590",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in Uttarakhand,"1,071",,,,,,,,,,,,,,,,
Family Courts: Number of cases disposed in West Bengal,86,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Andaman and Nicobar,726,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Andhra Pradesh,"14,349",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Arunachal Pradesh,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Assam,"7,399",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Bihar,"70,365",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Chandigarh,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Chhattisgarh,"19,893",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Dadra and Nagar Haveli,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Daman and Diu,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Delhi,"51,663",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Goa,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Gujarat,"32,980",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Haryana,"60,616",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Himachal Pradesh,"6,276",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Jammu and Kashmir,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Jharkhand,"15,376",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Karnataka,"39,011",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Kerala,"1,11,667",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Ladakh,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Lakshadweep,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Madhya Pradesh,"63,746",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Maharashtra,"66,373",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Manipur,721,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Meghalaya,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Mizoram,0,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Nagaland,238,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Odisha,"36,792",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Puducherry,"1,534",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Punjab,"76,016",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Rajasthan,"52,341",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Sikkim,149,,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Tamil Nadu,"31,655",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Telangana,"18,583",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Tripura,"4,010",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Uttar Pradesh,"3,94,877",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in Uttarakhand,"14,686",,,,,,,,,,,,,,,,
Family Courts: Number of cases pending in West Bengal,"3,696",,,,,,,,,,,,,,,,
When was the National Judicial Academy established?,1993,,,,,,,,,,,,,,,,
Where is the National Judicial Academy located?,Bhopal,,,,,,,,,,,,,,,,
Who funds the National Judicial Academy?,Fully funded by the Government of India,,,,,,,,,,,,,,,,
How many academic programs has NJA conducted?,455 (from 2017 to 30.06.2024),,,,,,,,,,,,,,,,
How many participants have attended NJA programs?,"16,402",,,,,,,,,,,,,,,,
How many newsletters has NJA published?,22 (from 2017 to 30.06.2024),,,,,,,,,,,,,,,,
How many training programs were conducted in the Academic Year 2017-18?,87,,,,,,,,,,,,,,,,
How many participants were there from District Judiciary for 2017-18?,"2,268",,,,,,,,,,,,,,,,
How many participants were there from High Courts for 2017-18?,304,,,,,,,,,,,,,,,,
What was the total number of participants for 2017-18?,"2,572",,,,,,,,,,,,,,,,
How many training programs were conducted in the Academic Year 2020-21?,28,,,,,,,,,,,,,,,,
What was the total number of participants for 2020-21?,956,,,,,,,,,,,,,,,,
How many training programs were conducted in the Academic Year 2022-23?,73,,,,,,,,,,,,,,,,
What was the total number of participants for 2022-23?,"3,227",,,,,,,,,,,,,,,,
How many training programs were conducted till 30.06.2024?,85,,,,,,,,,,,,,,,,
What was the total number of participants for 2023-2024?,"3,262",,,,,,,,,,,,,,,,
What is the effective date of the MoU with Bangladesh?,08.04.2017,,,,,,,,,,,,,,,,
How many programs have been conducted for Bangladesh?,22,,,,,,,,,,,,,,,,
How many participants were trained from Bangladesh?,"1,122",,,,,,,,,,,,,,,,
What is the effective date of the MoU with Myanmar?,11.12.2018,,,,,,,,,,,,,,,,
How many programs have been conducted for Myanmar?,4,,,,,,,,,,,,,,,,
How many participants were trained from Myanmar?,160,,,,,,,,,,,,,,,,
What is the effective date of the MoU with Maldives?,11.02.2020,,,,,,,,,,,,,,,,
How many programs have been conducted for Maldives?,6,,,,,,,,,,,,,,,,
How many participants were trained from Maldives?,260,,,,,,,,,,,,,,,,
What is the total number of participants trained from MoUs?,"1,542",,,,,,,,,,,,,,,,
What was the Revenue Grants-in-Aid for 2021-22?,23.75 Cr.,,,,,,,,,,,,,,,,
What was the actual release for 2023-24?,24.50 Cr.,,,,,,,,,,,,,,,,
What was the actual release for 2024-25?,7.92 Cr.,,,,,,,,,,,,,,,,
How much amount was surrendered in 2021-22?,9.50 Cr.,,,,,,,,,,,,,,,,
What is the vision statement of the NJA?","""The vision of the National Judicial Academy is to strengthen the administration of justice through education.""",,,,,,,,,,,,,,,,
"""What is the legal mandate of the NJA?""","""Strengthening the Administration of Justice through Judicial Education, Research, and Policy Development.""",,,,,,,,,,,,,,,,
"""What is the guiding philosophy of the NJA?""","""Guided by the Vision of Justice as outlined in the Constitution of India.""",,,,,,,,,,,,,,,,
"""What is the main goal of the NJA?""","""Judicial Education must enhance timely justice by reducing delays and arrears and improving quality and responsiveness.""",,,,,,,,,,,,,,,,
"""What is the mission of the NJA?""","""Knowledge for Justice.""",,,,,,,,,,,,,,,,
"""What is the methodology used by the NJA?""","""Judicial Education as problem-solving through knowledge sharing.""",,,,,,,,,,,,,,,,
What is the legal status and governance structure of NJA?,"NJA is an independent society, founded in 1993 under the Societies Registration Act, 1860. The Chief Justice of India chairs the governing bodies.",,,,,,,,,,,,,,,,
How is NJA funded?,NJA is fully funded by the Government of India.,,,,,,,,,,,,,,,,
What is the management structure of NJA?,"The Director of NJA, appointed by the Chief Justice of India, is the Principal Executive Officer. The academic staff includes positions like Additional Director, Professors, Assistant Professors, and Law Associates.",,,,,,,,,,,,,,,,
"Where is the NJA located, and what facilities are available on its campus?","Located in Bhopal on a scenic hill, the 63-acre NJA campus offers residential facilities, a library, seminar rooms, an auditorium, and recreational amenities like a gym, pool, and tennis courts.",,,,,,,,,,,,,,,,
What is the National Judicial Education Strategy (NJES)?,"NJES, developed by NJA, aims to enhance judicial education to promote timely justice and strengthen judicial administration.",,,,,,,,,,,,,,,,
What are NJA's vision and mission?,NJA's vision is to improve timely justice delivery. Its mission focuses on reducing delays in cases and enhancing justice quality and responsiveness.,,,,,,,,,,,,,,,,
